Contract Name,Type,Put/Call,Strike,Maturity,Fourier Price
MER0.20P50.00,European,Put,50,0.2,0.114626
MER0.20P55.00,European,Put,55,0.2,0.144875
MER0.20P60.00,European,Put,60,0.2,0.201871
MER0.20P65.00,European,Put,65,0.2,0.304311
MER0.20P70.00,European,Put,70,0.2,0.476716
MER0.20P75.00,European,Put,75,0.2,0.746651
MER0.20P80.00,European,Put,80,0.2,1.14238
MER0.20P85.00,European,Put,85,0.2,1.70173
MER0.20P90.00,European,Put,90,0.2,2.50849
MER0.20P95.00,European,Put,95,0.2,3.73655
MER0.20P100.00,European,Put,100,0.2,5.61978
MER0.20P105.00,European,Put,105,0.2,8.32002
MER0.20P110.00,European,Put,110,0.2,11.8152
MER0.20P115.00,European,Put,115,0.2,15.9244
MER0.20P120.00,European,Put,120,0.2,20.4236
MER0.20C50.00,European,Call,50,0.2,50.3142
MER0.20C55.00,European,Call,55,0.2,45.3644
MER0.20C60.00,European,Call,60,0.2,40.4414
MER0.20C65.00,European,Call,65,0.2,35.5638
MER0.20C70.00,European,Call,70,0.2,30.7562
MER0.20C75.00,European,Call,75,0.2,26.0461
MER0.20C80.00,European,Call,80,0.2,21.4617
MER0.20C85.00,European,Call,85,0.2,17.041
MER0.20C90.00,European,Call,90,0.2,12.8678
MER0.20C95.00,European,Call,95,0.2,9.11579
MER0.20C100.00,European,Call,100,0.2,6.01898
MER0.20C105.00,European,Call,105,0.2,3.73918
MER0.20C110.00,European,Call,110,0.2,2.25432
MER0.20C115.00,European,Call,115,0.2,1.38344
MER0.20C120.00,European,Call,120,0.2,0.902656
MER0.40P50.00,European,Put,50,0.4,0.177559
MER0.40P55.00,European,Put,55,0.4,0.2645
MER0.40P60.00,European,Put,60,0.4,0.411403
MER0.40P65.00,European,Put,65,0.4,0.646414
MER0.40P70.00,European,Put,70,0.4,1.0027
MER0.40P75.00,European,Put,75,0.4,1.51642
MER0.40P80.00,European,Put,80,0.4,2.22721
MER0.40P85.00,European,Put,85,0.4,3.18352
MER0.40P90.00,European,Put,90,0.4,4.44941
MER0.40P95.00,European,Put,95,0.4,6.10258
MER0.40P100.00,European,Put,100,0.4,8.21754
MER0.40P105.00,European,Put,105,0.4,10.8404
MER0.40P110.00,European,Put,110,0.4,13.9709
MER0.40P115.00,European,Put,115,0.4,17.5622
MER0.40P120.00,European,Put,120,0.4,21.5364
MER0.40C50.00,European,Call,50,0.4,50.576
MER0.40C55.00,European,Call,55,0.4,45.7027
MER0.40C60.00,European,Call,60,0.4,40.8895
MER0.40C65.00,European,Call,65,0.4,36.1643
MER0.40C70.00,European,Call,70,0.4,31.5605
MER0.40C75.00,European,Call,75,0.4,27.114
MER0.40C80.00,European,Call,80,0.4,22.8647
MER0.40C85.00,European,Call,85,0.4,18.8608
MER0.40C90.00,European,Call,90,0.4,15.1665
MER0.40C95.00,European,Call,95,0.4,11.8595
MER0.40C100.00,European,Call,100,0.4,9.01435
MER0.40C105.00,European,Call,105,0.4,6.67704
MER0.40C110.00,European,Call,110,0.4,4.84737
MER0.40C115.00,European,Call,115,0.4,3.47851
MER0.40C120.00,European,Call,120,0.4,2.49257
MER0.60P50.00,European,Put,50,0.6,0.280418
MER0.60P55.00,European,Put,55,0.6,0.440638
MER0.60P60.00,European,Put,60,0.6,0.691571
MER0.60P65.00,European,Put,65,0.6,1.06476
MER0.60P70.00,European,Put,70,0.6,1.59468
MER0.60P75.00,European,Put,75,0.6,2.31726
MER0.60P80.00,European,Put,80,0.6,3.26934
MER0.60P85.00,European,Put,85,0.6,4.48912
MER0.60P90.00,European,Put,90,0.6,6.01582
MER0.60P95.00,European,Put,95,0.6,7.88654
MER0.60P100.00,European,Put,100,0.6,10.1303
MER0.60P105.00,European,Put,105,0.6,12.7613
MER0.60P110.00,European,Put,110,0.6,15.7751
MER0.60P115.00,European,Put,115,0.6,19.1481
MER0.60P120.00,European,Put,120,0.6,22.8422
MER0.60C50.00,European,Call,50,0.6,50.8768
MER0.60C55.00,European,Call,55,0.6,46.0967
MER0.60C60.00,European,Call,60,0.6,41.4073
MER0.60C65.00,European,Call,65,0.6,36.8401
MER0.60C70.00,European,Call,70,0.6,32.4297
MER0.60C75.00,European,Call,75,0.6,28.2119
MER0.60C80.00,European,Call,80,0.6,24.2236
MER0.60C85.00,European,Call,85,0.6,20.503
MER0.60C90.00,European,Call,90,0.6,17.0894
MER0.60C95.00,European,Call,95,0.6,14.0197
MER0.60C100.00,European,Call,100,0.6,11.3231
MER0.60C105.00,European,Call,105,0.6,9.01379
MER0.60C110.00,European,Call,110,0.6,7.08719
MER0.60C115.00,European,Call,115,0.6,5.51986
MER0.60C120.00,European,Call,120,0.6,4.27358
MER0.80P50.00,European,Put,50,0.8,0.416987
MER0.80P55.00,European,Put,55,0.8,0.658327
MER0.80P60.00,European,Put,60,0.8,1.01603
MER0.80P65.00,European,Put,65,0.8,1.52142
MER0.80P70.00,European,Put,70,0.8,2.20659
MER0.80P75.00,European,Put,75,0.8,3.10295
MER0.80P80.00,European,Put,80,0.8,4.24014
MER0.80P85.00,European,Put,85,0.8,5.64531
MER0.80P90.00,European,Put,90,0.8,7.342
MER0.80P95.00,European,Put,95,0.8,9.34855
MER0.80P100.00,European,Put,100,0.8,11.676
MER0.80P105.00,European,Put,105,0.8,14.3264
MER0.80P110.00,European,Put,110,0.8,17.2919
MER0.80P115.00,European,Put,115,0.8,20.5553
MER0.80P120.00,European,Put,120,0.8,24.0918
MER0.80C50.00,European,Call,50,0.8,51.2106
MER0.80C55.00,European,Call,55,0.8,46.5313
MER0.80C60.00,European,Call,60,0.8,41.9684
MER0.80C65.00,European,Call,65,0.8,37.5531
MER0.80C70.00,European,Call,70,0.8,33.3177
MER0.80C75.00,European,Call,75,0.8,29.2934
MER0.80C80.00,European,Call,80,0.8,25.51
MER0.80C85.00,European,Call,85,0.8,21.9945
MER0.80C90.00,European,Call,90,0.8,18.7705
MER0.80C95.00,European,Call,95,0.8,15.8565
MER0.80C100.00,European,Call,100,0.8,13.2633
MER0.80C105.00,European,Call,105,0.8,10.993
MER0.80C110.00,European,Call,110,0.8,9.03789
MER0.80C115.00,European,Call,115,0.8,7.38065
MER0.80C120.00,European,Call,120,0.8,5.99656
MER1.00P50.00,European,Put,50,1,0.580392
MER1.00P55.00,European,Put,55,1,0.905233
MER1.00P60.00,European,Put,60,1,1.36674
MER1.00P65.00,European,Put,65,1,1.99405
MER1.00P70.00,European,Put,70,1,2.81525
MER1.00P75.00,European,Put,75,1,3.85611
MER1.00P80.00,European,Put,80,1,5.13912
MER1.00P85.00,European,Put,85,1,6.68277
MER1.00P90.00,European,Put,90,1,8.50088
MER1.00P95.00,European,Put,95,1,10.6019
MER1.00P100.00,European,Put,100,1,12.9886
MER1.00P105.00,European,Put,105,1,15.6574
MER1.00P110.00,European,Put,110,1,18.5989
MER1.00P115.00,European,Put,115,1,21.7985
MER1.00P120.00,European,Put,120,1,25.237
MER1.00C50.00,European,Call,50,1,51.5705
MER1.00C55.00,European,Call,55,1,46.9943
MER1.00C60.00,European,Call,60,1,42.5548
MER1.00C65.00,European,Call,65,1,38.2811
MER1.00C70.00,European,Call,70,1,34.2013
MER1.00C75.00,European,Call,75,1,30.3412
MER1.00C80.00,European,Call,80,1,26.7232
MER1.00C85.00,European,Call,85,1,23.3659
MER1.00C90.00,European,Call,90,1,20.283
MER1.00C95.00,European,Call,95,1,17.4831
MER1.00C100.00,European,Call,100,1,14.9687
MER1.00C105.00,European,Call,105,1,12.7365
MER1.00C110.00,European,Call,110,1,10.7771
MER1.00C115.00,European,Call,115,1,9.07564
MER1.00C120.00,European,Call,120,1,7.61321
MER1.20P50.00,European,Put,50,1.2,0.764385
MER1.20P55.00,European,Put,55,1.2,1.17187
MER1.20P60.00,European,Put,60,1.2,1.7316
MER1.20P65.00,European,Put,65,1.2,2.46959
MER1.20P70.00,European,Put,70,1.2,3.4095
MER1.20P75.00,European,Put,75,1.2,4.57173
MER1.20P80.00,European,Put,80,1.2,5.97274
MER1.20P85.00,European,Put,85,1.2,7.62463
MER1.20P90.00,European,Put,90,1.2,9.53492
MER1.20P95.00,European,Put,95,1.2,11.7065
MER1.20P100.00,European,Put,100,1.2,14.1375
MER1.20P105.00,European,Put,105,1.2,16.822
MER1.20P110.00,European,Put,110,1.2,19.7498
MER1.20P115.00,European,Put,115,1.2,22.9075
MER1.20P120.00,European,Put,120,1.2,26.2794
MER1.20C50.00,European,Call,50,1.2,51.9501
MER1.20C55.00,European,Call,55,1.2,47.4762
MER1.20C60.00,European,Call,60,1.2,43.1545
MER1.20C65.00,European,Call,65,1.2,39.011
MER1.20C70.00,European,Call,70,1.2,35.0695
MER1.20C75.00,European,Call,75,1.2,31.3503
MER1.20C80.00,European,Call,80,1.2,27.8699
MER1.20C85.00,European,Call,85,1.2,24.6403
MER1.20C90.00,European,Call,90,1.2,21.6692
MER1.20C95.00,European,Call,95,1.2,18.9593
MER1.20C100.00,European,Call,100,1.2,16.509
MER1.20C105.00,European,Call,105,1.2,14.312
MER1.20C110.00,European,Call,110,1.2,12.3583
MER1.20C115.00,European,Call,115,1.2,10.6347
MER1.20C120.00,European,Call,120,1.2,9.12515
