#S0=1,r=0.05,nX=1000,nT=1000,x0=-2,x1=2,m=implicit,vs=SviPowerLaw(v0=0.04, v1=0.04, v2=0.04, k1=1, k2=2, rho=0, eta=0, gam=0)
k,K,T,ex,pc,pxTrue,pxLatt,sigTrue,sigLatt,sigLV,sigErr
-0.5,0.6095709072963093,0.1,E,P,8.04983110339123e-18,2.1882642641192928e-17,0.2,0.20312744953804884,0.2,0.003127449538048832
-0.45,0.6408242760323187,0.1,E,P,3.823109750608649e-15,7.44947994312047e-15,0.2,0.2025387389722475,0.2,0.0025387389722474896
-0.4,0.6736800392488675,0.1,E,P,9.926989404805672e-13,1.511741175740193e-12,0.2,0.20199021439121284,0.2,0.00199021439121283
-0.35000000000000003,0.7082203534677999,0.1,E,P,1.4158866903360075e-10,1.8165612630932263e-10,0.2,0.20150528603557244,0.2,0.0015052860355724285
-0.30000000000000004,0.7445315874659093,0.1,E,P,1.1163319330035472e-08,1.2767614451949742e-08,0.2,0.20106978598451636,0.2,0.001069785984516347
-0.25000000000000006,0.7827045382418681,0.1,E,P,4.907845742975041e-07,5.233509989304474e-07,0.2,0.20070362520305388,0.2,0.0007036252030538648
-0.20000000000000007,0.8228346580560183,0.1,E,P,1.218021389907034e-05,1.2487312738556164e-05,0.2,0.20039554365794643,0.2,0.00039554365794641777
-0.15000000000000008,0.8650222931107411,0.1,E,P,0.00017369862194650248,0.0001748339287963311,0.2,0.20016123582466283,0.2,0.00016123582466281983
-0.10000000000000009,0.9093729344682313,0.1,E,P,0.0014611039415775645,0.0014608288682990953,0.2,0.19999199502406503,0.2,-8.00497593497762e-06
-0.0500000000000001,0.9559974818330997,0.1,E,P,0.007536686206818817,0.007527604773173441,0.2,0.19989905046816656,0.2,-0.00010094953183345523
-1.1102230246251565e-16,1.0050125208594007,0.1,E,P,0.02522712063003951,0.025211382803945585,0.2,0.1998751893376578,0.2,-0.00012481066234221183
0.04999999999999982,1.056540614675494,0.1,E,C,0.007923100371684434,0.007916129621839846,0.2,0.19992629512818855,0.2,-7.370487181146412e-05
0.09999999999999987,1.110710610355705,0.1,E,C,0.0016147695845172068,0.0016167635189427557,0.2,0.20005248424543734,0.2,5.248424543732866e-05
0.1499999999999999,1.167657961105125,0.1,E,C,0.00020180900689216233,0.00020381958534650997,0.2,0.2002454772787451,0.2,0.0002454772787450765
0.19999999999999984,1.2275250649631773,0.1,E,C,1.4876946851304128e-05,1.5365326602786224e-05,0.2,0.20051349415128186,0.2,0.0005134941512818514
0.24999999999999978,1.2904616208728894,0.1,E,C,6.301798675162991e-07,6.805122312940518e-07,0.2,0.20084233870029541,0.2,0.000842338700295403
0.2999999999999998,1.3566250030062237,0.1,E,C,1.5068904919431745e-08,1.7608577341246645e-08,0.2,0.20124235527299839,0.2,0.0012423552729983744
0.34999999999999987,1.4261806542814799,0.1,E,C,2.0092388547409157e-10,2.6590877891922645e-10,0.2,0.20169503638124336,0.2,0.0016950363812433533
0.3999999999999998,1.4993025000567666,0.1,E,C,1.480932796731285e-12,2.3624740640479817e-12,0.2,0.20221350219237585,0.2,0.0022135021923758436
0.44999999999999973,1.5761733830339906,0.1,E,C,5.995829608346191e-15,1.2417690447745357e-14,0.2,0.20277548345004562,0.2,0.002775483450045607
0.4999999999999998,1.6569855204608501,0.1,E,C,1.327192776569826e-17,3.9244264394137544e-17,0.2,0.20339702963034098,0.2,0.0033970296303409697
-0.5,0.612626394184416,0.2,E,P,1.3334523878196184e-10,1.6049298398538302e-10,0.2,0.20109566139033114,0.2,0.0010956613903311263
-0.45,0.6440364210831413,0.2,E,P,3.226436229514464e-09,3.6430882701946526e-09,0.2,0.20086904837062383,0.2,0.0008690483706238206
-0.4,0.6770568744981647,0.2,E,P,5.8189815240295807e-08,6.274974716387921e-08,0.2,0.2006657108031866,0.2,0.0006657108031865866
-0.35000000000000003,0.7117703227626097,0.2,E,P,7.85076780940404e-07,8.201007718177665e-07,0.2,0.20048569591315882,0.2,0.0004856959131588068
-0.30000000000000004,0.7482635675785652,0.2,E,P,7.960189365979874e-06,8.144501394644758e-06,0.2,0.2003300526765527,0.2,0.0003300526765527001
-0.25000000000000006,0.7866278610665534,0.2,E,P,6.102157966693622e-05,6.165342065960605e-05,0.2,0.20019892087924918,0.2,0.0001989208792491648
-0.20000000000000007,0.8269591339433622,0.2,E,P,0.00035645667743784763,0.0003576896691856326,0.2,0.20009303157086064,0.2,9.303157086062996e-05
-0.15000000000000008,0.8693582353988056,0.2,E,P,0.0016032678170531708,0.001603776094554739,0.2,0.20001254210826436,0.2,1.2542108264346208e-05
-0.10000000000000009,0.9139311852712281,0.2,E,P,0.005629313870180216,0.005625492886789463,0.2,0.19995788951664095,0.2,-4.211048335905909e-05
-0.0500000000000001,0.960789439152323,0.2,E,P,0.01571087676688518,0.015700347235622553,0.2,0.1999291796567448,0.2,-7.082034325520126e-05
-1.1102230246251565e-16,1.0100501670841677,0.2,E,P,0.035670591729679804,0.035657507250999754,0.2,0.1999265882638014,0.2,-7.341173619859753e-05
0.04999999999999982,1.0618365465453594,0.2,E,C,0.016516390643752123,0.01650856474735191,0.2,0.19994993187139026,0.2,-5.0068128609748186e-05
0.09999999999999987,1.116278070458871,0.2,E,C,0.006221353978042949,0.0062213025513673924,0.2,0.19999948723579092,0.2,-5.12764209092964e-07
0.1499999999999999,1.17351087099181,0.2,E,C,0.0018627314501165827,0.00186625814329306,0.2,0.20007486917413653,0.2,7.486917413651595e-05
0.19999999999999984,1.233678059956743,0.2,E,C,0.000435377168987214,0.00043822836559753335,0.2,0.200175949829675,0.2,0.0001759498296749762
0.24999999999999978,1.2969300866657714,0.2,E,C,7.835325925878881e-05,7.958838257492589e-05,0.2,0.20030222750605461,0.2,0.00030222750605460313
0.2999999999999998,1.3634251141321776,0.2,E,C,1.0745131725640686e-05,1.1088194205459847e-05,0.2,0.2004535309191331,0.2,0.00045353091913308274
0.34999999999999987,1.43332941456034,0.2,E,C,1.114076982986781e-06,1.1788037142038154e-06,0.2,0.2006290609680073,0.2,0.0006290609680073
0.3999999999999998,1.5068177851128532,0.2,E,C,8.680900352667307e-08,9.534650787631433e-08,0.2,0.20082867639646756,0.2,0.0008286763964675536
0.44999999999999973,1.5840739849944814,0.2,E,C,5.060059254454748e-09,5.859766676149324e-09,0.2,0.20105126038998483,0.2,0.0010512603899848205
0.4999999999999998,1.6652911949458857,0.2,E,C,2.198491315263879e-10,2.736784919281562e-10,0.2,0.20129677747020494,0.2,0.0012967774702049295
-0.5,0.6156971967642851,0.3,E,P,4.30803552485532e-08,4.621470238572892e-08,0.2,0.2005973959581718,0.2,0.0005973959581717925
-0.45,0.6472646670780347,0.3,E,P,3.847962502280132e-07,4.0273181568160707e-07,0.2,0.20046604366409226,0.2,0.00046604366409225273
-0.4,0.6804506362045877,0.3,E,P,2.83769490703239e-06,2.918219142740912e-06,0.2,0.2003501021282277,0.2,0.00035010212822769726
-0.35000000000000003,0.7153380863525599,0.3,E,P,1.7327708110305257e-05,1.7604302892288117e-05,0.2,0.20024717210527593,0.2,0.0002471721052759168
-0.30000000000000004,0.7520142543193826,0.3,E,P,8.792642131520303e-05,8.863450071520205e-05,0.2,0.200159849191659,0.2,0.00015984919165898392
-0.25000000000000006,0.7905708496287355,0.3,E,P,0.0003724385223366976,0.0003736662330588872,0.2,0.2000861097404573,0.2,8.61097404572797e-05
-0.20000000000000007,0.8311042838521255,0.3,E,P,0.0013243474995949034,0.0013253952568706622,0.2,0.20002809269793667,0.2,2.809269793666025e-05
-0.15000000000000008,0.8737159116880343,0.3,E,P,0.003981535266643653,0.003980275721105325,0.2,0.19998410904186756,0.2,-1.5890958132452893e-05
-0.10000000000000009,0.9185122844014573,0.3,E,P,0.010211113331870627,0.01020507910274539,0.2,0.19995589243572498,0.2,-4.410756427503104e-05
-0.0500000000000001,0.9656054162575664,0.3,E,P,0.022587728144329876,0.02257660855528349,0.2,0.19994200657091296,0.2,-5.799342908704985e-05
-1.1102230246251565e-16,1.0151130646157187,0.3,E,P,0.04368009608449634,0.04366785561243479,0.2,0.19994389794975573,0.2,-5.6102050244283275e-05
0.04999999999999982,1.0671590243841924,0.3,E,C,0.023745825730933406,0.023737800276445786,0.2,0.19996018553274267,0.2,-3.9814467257343056e-05
0.09999999999999987,1.1218734375719381,0.3,E,C,0.011285025495557943,0.011283729426069342,0.2,0.19999142847545648,0.2,-8.571524543532494e-06
0.1499999999999999,1.1793931187113904,0.3,E,C,0.004625884011416922,0.004629429961622738,0.2,0.2000384958702474,0.2,3.849587024740142e-05
0.19999999999999984,1.2398618969660615,0.3,E,C,0.0016175616887677492,0.0016221001915214459,0.2,0.20009956991551242,0.2,9.956991551240968e-05
0.24999999999999978,1.3034309757783684,0.3,E,C,0.00047822052883395223,0.0004814538116307745,0.2,0.20017640721983862,0.2,0.00017640721983860908
0.2999999999999998,1.3702593109569965,0.3,E,C,0.00011868825423096464,0.00012028703854056619,0.2,0.20026684544520895,0.2,0.0002668454452089408
0.34999999999999987,1.440514008149217,0.3,E,C,2.458918827083075e-05,2.5183291399548442e-05,0.2,0.200372925025586,0.2,0.0003729250255860017
0.3999999999999998,1.514370740692048,0.3,E,C,4.233343346681745e-06,4.4029812195770376e-06,0.2,0.2004920595784526,0.2,0.0004920595784525805
0.44999999999999973,1.5920141888871007,0.3,E,C,6.034806481634718e-07,6.415597011222974e-07,0.2,0.20062663837505496,0.2,0.0006266383750549442
0.4999999999999998,1.673638501797529,0.3,E,C,7.102749804759545e-08,7.778154862774499e-08,0.2,0.20077361920161896,0.2,0.0007736192016189469
-0.5,0.6187833918061408,0.4,E,P,8.650522443810252e-07,8.961578731286877e-07,0.2,0.20038611301900067,0.2,0.00038611301900065564
-0.45,0.6505090947233165,0.4,E,P,4.682638769659615e-06,4.7902532893715145e-06,0.2,0.2002969652993722,0.2,0.0002969652993721761
-0.4,0.6838614092123558,0.4,E,P,2.201332774586638e-05,2.2317435833352227e-05,0.2,0.20021773345957297,0.2,0.00021773345957296075
-0.35000000000000003,0.7189237334319262,0.4,E,P,9.008910454120682e-05,9.077426719797663e-05,0.2,0.20014860143887342,0.2,0.00014860143887340804
-0.30000000000000004,0.7557837414557255,0.4,E,P,0.00032189858253377457,0.0003230662118972961,0.2,0.2000895951037363,0.2,8.95951037362952e-05
-0.25000000000000006,0.794533602503334,0.4,E,P,0.001007794582047762,0.0010090825058840013,0.2,0.20004084735030994,0.2,4.0847350309930475e-05
-0.20000000000000007,0.835270211411272,0.4,E,P,0.002776628025510494,0.002776783716401514,0.2,0.20000238496944223,0.2,2.3849694422151124e-06
-0.15000000000000008,0.8780954309205612,0.4,E,P,0.006767917995039236,0.006764945581621457,0.2,0.1999742953157508,0.2,-2.570468424920036e-05
-0.10000000000000009,0.9231163463866356,0.4,E,P,0.014688256793880089,0.014680651779376571,0.2,0.19995660001374393,0.2,-4.339998625607633e-05
-0.0500000000000001,0.970445533548508,0.4,E,P,0.028602391770760082,0.028590887314720245,0.2,0.19994934881506876,0.2,-5.065118493124965e-05
-1.1102230246251565e-16,1.0202013400267556,0.4,E,P,0.05042902884889482,0.05041708275746644,0.2,0.19995255896495082,0.2,-4.7441035049194946e-05
0.04999999999999982,1.0725081812542163,0.4,E,C,0.030068867755823524,0.030060645004586484,0.2,0.19996556316204325,0.2,-3.443683795675834e-05
0.09999999999999987,1.1274968515793755,0.4,E,C,0.016233034245823345,0.016231016430066757,0.2,0.19998958116013568,0.2,-1.041883986432901e-05
0.1499999999999999,1.1853048513203654,0.4,E,C,0.00786319887861351,0.00786642179398626,0.2,0.2000239845811633,0.2,2.3984581163288832e-05
0.19999999999999984,1.2460767305873806,0.4,E,C,0.0033913811287433187,0.0033968623519866513,0.2,0.20006871609994883,0.2,6.871609994882344e-05
0.24999999999999978,1.309964450733247,0.4,E,C,0.0012940338581495213,0.0012990481523084308,0.2,0.20012375388232953,0.2,0.00012375388232951923
0.2999999999999998,1.377127764335957,0.4,E,C,0.00043451763677946026,0.0004378470045098697,0.2,0.20018899334876378,0.2,0.00018899334876376628
0.34999999999999987,1.4477346146633243,0.4,E,C,0.00012784252473625548,0.000129576352189236,0.2,0.20026440564415782,0.2,0.00026440564415780576
0.3999999999999998,1.5219615556186334,0.4,E,C,3.2840026008555414e-05,3.357136615848845e-05,0.2,0.20034983704739662,0.2,0.00034983704739660615
0.44999999999999973,1.5999941932173598,0.4,E,C,7.343839442705835e-06,7.598082906812871e-06,0.2,0.20044526095477286,0.2,0.000445260954772847
0.4999999999999998,1.682027649698886,0.4,E,C,1.426230035577925e-06,1.4998164267281067e-06,0.2,0.2005504709032072,0.2,0.0005504709032072008
-0.5,0.6218850564650201,0.5,E,P,5.5763814374223865e-06,5.6925734561392156e-06,0.2,0.20027232435315104,0.2,0.00027232435315102665
-0.45,0.6537697851298473,0.5,E,P,2.2313322190502825e-05,2.260796379309225e-05,0.2,0.200206088024821,0.2,0.00020608802482099953
-0.4,0.6872892787909722,0.5,E,P,7.990270944937991e-05,8.05247781914482e-05,0.2,0.20014699082850482,0.2,0.00014699082850480605
-0.35000000000000003,0.7225273536420722,0.5,E,P,0.00025658620330708867,0.0002576495603978389,0.2,0.20009610804121045,0.2,9.610804121043537e-05
-0.30000000000000004,0.7595721232249685,0.5,E,P,0.0007406963269461208,0.0007420385640640878,0.2,0.20005254970094433,0.2,5.2549700944315436e-05
-0.25000000000000006,0.7985162187593771,0.5,E,P,0.0019277444629857156,0.001928641632192856,0.2,0.20001723370244662,0.2,1.723370244660627e-05
-0.20000000000000007,0.8394570207692074,0.5,E,P,0.004539155167217606,0.004538161698321891,0.2,0.1999893930176114,0.2,-1.0606982388611241e-05
-0.15000000000000008,0.8824969025845953,0.5,E,P,0.009710023583212782,0.009705532817240854,0.2,0.19996980670262143,0.2,-3.01932973785779e-05
-0.10000000000000009,0.9277434863285529,0.5,E,P,0.018963566352885368,0.01895477149604771,0.2,0.1999578079655041,0.2,-4.2192034495902586e-05
-0.0500000000000001,0.9753099120283326,0.5,E,P,0.03400746409516948,0.03399562328288277,0.2,0.199954071853738,0.2,-4.5928146262003144e-05
-1.1102230246251565e-16,1.0253151205244286,0.5,E,P,0.056371977797016457,0.05636015875685344,0.2,0.19995799774099415,0.2,-4.2002259005857745e-05
0.04999999999999982,1.0778841508846313,0.5,E,C,0.035751064064297226,0.03574267219435242,0.2,0.1999690372525354,0.2,-3.096274746461347e-05
0.09999999999999987,1.133148453066826,0.5,E,C,0.020957982036206847,0.02095547050106734,0.2,0.19998909828855235,0.2,-1.0901711447658391e-05
0.1499999999999999,1.191246216612358,0.5,E,C,0.01128143789667572,0.011284315658658284,0.2,0.20001665113536735,0.2,1.665113536733487e-05
0.19999999999999984,1.2523227161918642,0.5,E,C,0.005544136640956588,0.005550141598646343,0.2,0.20005247494784556,0.2,5.247494784554885e-05
0.24999999999999978,1.3165306748676213,0.5,E,C,0.0024752728873527617,0.002481674391047715,0.2,0.20009570770273682,0.2,9.570770273681362e-05
0.2999999999999998,1.3840306459807512,0.5,E,C,0.0009998354606674201,0.0010049158696728365,0.2,0.20014719387080177,0.2,0.00014719387080175395
0.34999999999999987,1.4549914146182013,0.5,E,C,0.0003641131545298426,0.00036735218022091294,0.2,0.20020595037669117,0.2,0.00020595037669116079
0.3999999999999998,1.5295904196633785,0.5,E,C,0.00011920083536504534,0.00012092826959451066,0.2,0.20027292492045679,0.2,0.0002729249204567741
0.44999999999999973,1.6080141974857824,0.5,E,C,3.499425509013377e-05,3.577505085373056e-05,0.2,0.20034698934037426,0.2,0.00034698934037424856
